cnpj,cnpj_basico,matriz_filial,nome_fantasia,razao_social,situacao_cadastral,situacao,data_situacao,data_inicio,ano_inicio,cnae_principal,cnae_descricao,cnae_secundaria,logradouro,numero,bairro,cep,municipio_codigo,municipio,uf,motivo_situacao,natureza_juridica,natureza_juridica_desc,capital_social,porte_codigo,porte,mei,optante_simples
00000253000165,00000253,Matriz,,FEIJAO COM ARROZ RESTAURANTE E LANCHONETE LTDA,02,Ativa,2022-05-30,1994-08-02,1994,5611201,Restaurantes e similares,5611203,DOS AICAS,1501,INDIANOPOLIS,04086003,7107,SAO PAULO,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"93700,00",01,Microempresa,Não MEI,Não
00000837000130,00000837,Matriz,,MARCIO RICARDO DA SILVA NOVA EUROPA,02,Ativa,2023-01-27,1994-05-05,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,AURELIANO R DA SILVA,94,JARDIM EUROPA,14920000,6759,NOVA EUROPA,SP,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,Não MEI,Não
00000888000162,00000888,Matriz,,ADOLFINA MARIA NOVAIS SCHMIDT,02,Ativa,2005-11-03,1994-05-06,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,PRESIDENTE CASTELO BRANCO,122,CANTO DO FORTE,11700800,6921,PRAIA GRANDE,SP,SEM MOTIVO,2135,Empresário (Individual),"30000,00",01,Microempresa,Não MEI,Sim
00000996000135,00000996,Matriz,,LL LANCHONETE LTDA,02,Ativa,2005-11-03,1994-05-05,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,VOLUNTARIOS DA PATRIA,512,SANTANA,02010000,7107,SAO PAULO,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"800,00",05,Demais,Não MEI,Sim
00001091000180,00001091,Matriz,LANCHONETE SPACO 760,SILVIO ROBERTO MARQUES,02,Ativa,2006-12-01,1994-05-05,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,CUIABA,760,CENTRO,19280000,7187,TEODORO SAMPAIO,SP,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,Não MEI,Não
00001128000170,00001128,Matriz,,R.E. RESTAURANTE LTDA,02,Ativa,2004-09-04,1994-05-06,1994,5611201,Restaurantes e similares,,NACOES UNIDAS,26 19,JARDIM PANORAMA,17053460,6219,BAURU,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"3000,00",01,Microempresa,Não MEI,Sim
00001142000173,00001142,Matriz,,SERGIO INACIO BATISTA & CIA LTDA,02,Ativa,2005-02-12,1994-05-05,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",4712100,SP 50,SN,CASSUNUNGA,12450000,7065,SANTO ANTONIO DO PINHAL,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"5600,00",01,Microempresa,Não MEI,Sim
00001340000137,00001340,Matriz,,LANCHONETE AQUI AGORA LTDA,02,Ativa,2005-11-03,1994-05-06,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,DAS OLARIAS,36,CANINDE,03030020,7107,SAO PAULO,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"10000,00",01,Microempresa,Não MEI,Sim
00001592000166,00001592,Matriz,BAR E LANCHES COPA 70,BAR E LANCHES COPA 70 SANTO ANDRE LTDA,02,Ativa,2005-04-30,1994-05-09,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,LUCINDA FERREIRA,55,VILA LUCINDA,09250680,7057,SANTO ANDRE,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"10000,00",01,Microempresa,Não MEI,Sim
00001690000101,00001690,Matriz,,JOAQUIM BERNARDO SIMOES,02,Ativa,2005-11-03,1994-05-06,1994,5611201,Restaurantes e similares,,PADRE ANTONIO VAN ESS,1667,DA RAIA,13631301,6887,PIRASSUNUNGA,SP,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,Não MEI,Não
00001865000172,00001865,Matriz,,MANUEL FREITAS ALMEIDA LANCHONETE,02,Ativa,2005-11-03,1994-05-09,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,BOIPEVA,22,CID A E CARVALHO,08220030,7107,SAO PAULO,SP,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,Não MEI,Sim
00001868000106,00001868,Matriz,,VOLMIR WITECK RIBEIRAO PRETO,02,Ativa,2004-05-22,1994-05-09,1994,5611201,Restaurantes e similares,"5611204,5611203",LAFAIETE,1350,CENTRO,14015080,6969,RIBEIRAO PRETO,SP,SEM MOTIVO,2135,Empresário (Individual),"20000,00",01,Microempresa,Não MEI,Sim
00002117000104,00002117,Matriz,BAR E MERCEARIA NOSSA SENHORA APARECIDA,NILTON YASUHUKI FUKUTI,02,Ativa,2005-11-03,1994-05-12,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",,RAYMUNDO F DA SILVA,1418,JD SAO CONRADO,18076280,7145,SOROCABA,SP,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,Não MEI,Sim
00002623000101,00002623,Matriz,,MANOEL MEDEIROS DO NASCIMENTO,02,Ativa,2005-11-03,1994-05-13,1994,5611204,"Bares e outros estabelecimentos especializados em servir bebidas, sem entretenimento",4712100,JOSE UBEDA MARTINS,48,JDIM NOVO OSASCO,06142230,6789,OSASCO,SP,SEM MOTIVO,2135,Empresário (Individual),"2000,00",01,Microempresa,Não MEI,Sim
00002687000102,00002687,Matriz,BELL PAO,TABERNA COUNTRY LANCHONETE LTDA,02,Ativa,2019-01-28,1994-05-10,1994,5611203,"Lanchonetes, casas de chá, de sucos e similares",5223100,HERMINIA DE ANDRADE COUTO E SILVA,7,PARQUE SAO QUIRINO,13088340,6291,CAMPINAS,SP,SEM MOTIVO,2062,Sociedade Empresária Limitada,"240000,00",03,Empresa de pequeno porte,Não MEI,Não
