ano,aberturas
1891,1
1893,1
1899,2
1901,161
1902,3
1903,8
1904,8
1905,4
1906,6
1907,4
1908,6
1909,4
1910,3
1911,4
1912,4
1913,3
1914,4
1915,7
1916,2
1917,5
1918,7
1919,4
1920,8
1921,6
1922,13
1923,3
1924,7
1925,11
1926,6
1927,10
1928,3
1929,18
1930,9
1931,15
1932,15
1933,19
1934,40
1935,11
1936,19
1937,19
1938,19
1939,30
1940,20
1941,36
1942,25
1943,53
1944,48
1945,68
1946,70
1947,65
1948,79
1949,75
1950,78
1951,87
1952,105
1953,113
1954,168
1955,161
1956,158
1957,179
1958,218
1959,229
1960,285
1961,280
1962,334
1963,417
1964,406
1965,5130
1966,160203
1967,40901
1968,43597
1969,59653
1970,64815
1971,82922
1972,85826
1973,114455
1974,121070
1975,137930
1976,168122
1977,284882
1978,258357
1979,276513
1980,294822
1981,294078
1982,310721
1983,346323
1984,335612
1985,411115
1986,626436
1987,541023
1988,501927
1989,568491
1990,639542
1991,639485
1992,550566
1993,608969
1994,627768
1995,623218
1996,628336
1997,677619
1998,590530
1999,637687
2000,619225
2001,623627
2002,608334
2003,593151
2004,1036769
2005,613206
2006,808089
2007,750906
2008,1216408
2009,873125
2010,1544354
2011,1726885
2012,2332946
2013,1979294
2014,2023161
2015,2128199
2016,2654646
2017,2372788
2018,2763075
2019,3272737
2020,4013630
2021,4139548
2022,3977554
2023,3984872
2024,4844030
2025,5194734
2026,3731412
