ano,parte,estabelecimentos
1920,0,1
1932,0,1
1940,4,1
1949,0,1
1949,1,1
1949,2,1
1950,1,1
1950,4,1
1951,0,2
1951,2,1
1951,7,1
1952,0,1
1952,2,1
1952,7,1
1952,8,1
1953,0,1
1953,4,1
1954,0,1
1954,7,2
1954,8,1
1955,0,2
1956,0,1
1957,0,2
1957,1,1
1957,4,1
1957,7,1
1958,0,4
1958,4,1
1958,8,2
1959,0,2
1959,1,1
1959,2,1
1959,4,1
1959,5,1
1960,0,7
1960,1,1
1960,2,2
1960,4,1
1960,7,1
1961,0,3
1961,2,3
1961,4,1
1961,7,1
1961,8,1
1962,0,3
1962,1,2
1962,2,1
1962,5,3
1962,8,1
1962,9,1
1963,0,3
1963,1,1
1963,2,4
1963,4,2
1963,7,1
1964,0,5
1964,2,2
1964,4,1
1964,5,1
1964,7,2
1964,8,3
1965,0,104
1965,1,19
1965,2,36
1965,4,33
1965,5,26
1965,7,17
1965,8,17
1965,9,1
1966,0,4261
1966,1,1080
1966,2,1057
1966,4,1099
1966,5,1153
1966,7,1133
1966,8,1051
1966,9,22
1967,0,934
1967,1,215
1967,2,234
1967,4,228
1967,5,210
1967,7,213
1967,8,237
1967,9,2
1968,0,1020
1968,1,231
1968,2,242
1968,4,244
1968,5,232
1968,7,237
1968,8,231
1968,9,5
1969,0,1405
1969,1,334
1969,2,317
1969,4,293
1969,5,319
1969,7,355
1969,8,340
1969,9,7
1970,0,1269
1970,1,333
1970,2,299
1970,4,289
1970,5,309
1970,7,343
1970,8,299
1970,9,7
1971,0,1692
1971,1,424
1971,2,421
1971,4,460
1971,5,461
1971,7,425
1971,8,463
1971,9,5
1972,0,1919
1972,1,475
1972,2,475
1972,4,485
1972,5,494
1972,7,508
1972,8,481
1972,9,8
1973,0,2530
1973,1,653
1973,2,662
1973,4,630
1973,5,603
1973,7,639
1973,8,643
1973,9,12
1974,0,2580
1974,1,645
1974,2,665
1974,4,625
1974,5,663
1974,7,640
1974,8,586
1974,9,12
1975,0,3228
1975,1,824
1975,2,750
1975,4,810
1975,5,783
1975,7,776
1975,8,723
1975,9,6
1976,0,4472
1976,1,1106
1976,2,1090
1976,4,1099
1976,5,1117
1976,7,1104
1976,8,1070
1976,9,16
1977,0,9656
1977,1,2373
1977,2,2312
1977,4,2429
1977,5,2385
1977,7,2385
1977,8,2333
1977,9,39
1978,0,8909
1978,1,2205
1978,2,2176
1978,4,2302
1978,5,2230
1978,7,2225
1978,8,2240
1978,9,28
1979,0,10079
1979,1,2527
1979,2,2621
1979,4,2578
1979,5,2566
1979,7,2549
1979,8,2442
1979,9,36
1980,0,11542
1980,1,2911
1980,2,2858
1980,4,2932
1980,5,2796
1980,7,2917
1980,8,2933
1980,9,33
1981,0,11672
1981,1,2936
1981,2,2916
1981,4,2874
1981,5,2920
1981,7,2907
1981,8,2821
1981,9,33
1982,0,13529
1982,1,3447
1982,2,3376
1982,4,3398
1982,5,3449
1982,7,3344
1982,8,3265
1982,9,45
1983,0,16271
1983,1,4026
1983,2,4147
1983,4,4052
1983,5,4090
1983,7,4115
1983,8,4167
1983,9,54
1984,0,14851
1984,1,3718
1984,2,3827
1984,4,3798
1984,5,3705
1984,7,3578
1984,8,3664
1984,9,53
1985,0,15938
1985,1,3908
1985,2,4084
1985,4,3911
1985,5,3978
1985,7,3987
1985,8,3876
1985,9,52
1986,0,22502
1986,1,5512
1986,2,5517
1986,4,5722
1986,5,5515
1986,7,5602
1986,8,5598
1986,9,69
1987,0,19598
1987,1,4889
1987,2,4769
1987,4,4877
1987,5,4778
1987,7,4853
1987,8,4693
1987,9,61
1988,0,20527
1988,1,4971
1988,2,5047
1988,4,5051
1988,5,5103
1988,7,5188
1988,8,4949
1988,9,77
1989,0,22957
1989,1,5847
1989,2,5803
1989,3,1
1989,4,5706
1989,5,5726
1989,7,5819
1989,8,5709
1989,9,89
1990,0,24636
1990,1,6340
1990,2,6226
1990,4,6215
1990,5,6217
1990,7,6259
1990,8,6195
1990,9,95
1991,0,25377
1991,1,6301
1991,2,6354
1991,4,6416
1991,5,6433
1991,7,6388
1991,8,6220
1991,9,96
1992,0,20615
1992,1,5062
1992,2,5082
1992,4,5029
1992,5,5213
1992,7,5195
1992,8,5104
1992,9,89
1993,0,21160
1993,1,5386
1993,2,5294
1993,4,5196
1993,5,5350
1993,6,1
1993,7,5182
1993,8,5213
1993,9,98
1994,0,19408
1994,1,4824
1994,2,4833
1994,3,1
1994,4,4832
1994,5,4849
1994,7,4922
1994,8,4742
1994,9,80
1995,0,19174
1995,1,4843
1995,2,4695
1995,3,1
1995,4,4809
1995,5,4882
1995,6,1
1995,7,4831
1995,8,4674
1995,9,80
1996,0,18741
1996,1,4652
1996,2,4571
1996,4,4533
1996,5,4758
1996,6,2
1996,7,4733
1996,8,4623
1996,9,81
1997,0,19038
1997,1,4838
1997,2,4831
1997,4,4783
1997,5,4675
1997,7,4761
1997,8,4614
1997,9,103
1998,0,16497
1998,1,4119
1998,2,4210
1998,4,4212
1998,5,4208
1998,6,2
1998,7,4067
1998,8,4013
1998,9,67
1999,0,16417
1999,1,4225
1999,2,4268
1999,3,1
1999,4,4237
1999,5,4210
1999,6,1
1999,7,4184
1999,8,4142
1999,9,75
2000,0,14380
2000,1,3594
2000,2,3704
2000,4,3597
2000,5,3705
2000,6,2
2000,7,3551
2000,8,3536
2000,9,78
2001,0,15368
2001,1,3860
2001,2,3905
2001,3,3
2001,4,3867
2001,5,3836
2001,6,2
2001,7,3801
2001,8,3788
2001,9,84
2002,0,14666
2002,1,3659
2002,2,3551
2002,3,3
2002,4,3725
2002,5,3732
2002,6,1
2002,7,3631
2002,8,3511
2002,9,82
2003,0,14042
2003,1,3541
2003,2,3492
2003,3,2
2003,4,3516
2003,5,3570
2003,6,6
2003,7,3468
2003,8,3389
2003,9,89
2004,0,13966
2004,1,3275
2004,2,3497
2004,4,3469
2004,5,3611
2004,6,6
2004,7,3536
2004,8,3346
2004,9,109
2005,0,15500
2005,1,3877
2005,2,3860
2005,3,3
2005,4,3866
2005,5,3851
2005,6,4
2005,7,3731
2005,8,3707
2005,9,123
2006,0,14753
2006,1,3784
2006,2,3407
2006,3,356
2006,4,3619
2006,5,3141
2006,6,560
2006,7,3630
2006,8,1621
2006,9,1916
2007,0,16505
2007,1,4109
2007,2,3377
2007,3,710
2007,4,4070
2007,5,3010
2007,6,1070
2007,7,4093
2007,9,4125
2008,0,17712
2008,1,4373
2008,2,3585
2008,3,781
2008,4,4366
2008,5,3295
2008,6,1240
2008,7,4407
2008,9,4358
2009,0,22987
2009,1,5659
2009,2,4243
2009,3,1453
2009,4,5781
2009,5,4189
2009,6,1705
2009,7,5744
2009,9,5820
2010,0,44411
2010,1,11216
2010,2,7867
2010,3,3137
2010,4,11268
2010,5,336
2010,6,10796
2010,7,11141
2010,9,11302
2011,0,49160
2011,1,12548
2011,2,8624
2011,3,3727
2011,4,12489
2011,5,34
2011,6,12471
2011,7,12554
2011,9,12344
2012,0,51244
2012,1,12607
2012,2,2796
2012,3,9979
2012,4,12807
2012,5,7
2012,6,12967
2012,7,12914
2012,9,12993
2013,0,61594
2013,1,15534
2013,2,2
2013,3,15477
2013,4,15692
